Titel film;Datum1;Tijd1;Scheuren1?;;datum2;tijd2;zaal2;Scheuren2?;datum3;tijd3;Scheuren3?;prize;noprize;noentry
Sawsan's geheime missie (schoolvoorstelling);06-11-14;9:30;nee;;07-nov;09:30;aegon;nee;;;nee;nee;nee;x
Siblings are forever + Binnen vier muren;06-11-14;17:00;ja;;09-nov;10:15;rabo;ja;;;ja;ja;;
Something must break;06-11-14;17:15;ja;;08-nov;10:30;roze;ja;;;ja;ja;;
Speed Walking;05-11-14;20:00;ja;;08-nov;12:15;benta;ja;;;ja;ja;;
Still life;05-11-14;22:15;ja;;08-nov;22:30;rabo;ja;;;ja;ja;;
Stream of Love + Landlocked;06-11-14;14:30;ja;;09-nov;19:45;blauw;ja;;;ja;ja;;
Stuk!;06-11-14;12:15;ja;;07-nov;22:00;roze;ja;;;ja;ja;;
Supernova;05-11-14;22:30;ja;;07-nov;10:15;benta;ja;;;ja;ja;;
The 48HFP blok 1;08-11-14;17:00;nee;;;;;nee;;;nee;nee;nee;x
The 48HFP blok 2;08-11-14;19:45;nee;;;;;nee;;;nee;nee;nee;x
The disciple;06-11-14;10:00;ja;;07-nov;22:15;blauw;ja;;;ja;ja;;
The hour of the lynx;06-11-14;14:30;ja;;08-nov;22:30;blauw;ja;;;ja;ja;;
The hunt;07-11-14;15:00;ja;;;;;ja;;;ja;nee;ja;
The optimists;05-11-14;20:15;ja;;09-nov;22:00;benta;ja;;;ja;ja;;
The quiet roar;05-11-14;22:45;ja;;07-nov;12:30;benta;ja;09-nov;22:15;ja;ja;;
The salvation;06-11-14;14:45;ja;;09-nov;12:45;rabo;ja;;;ja;ja;;
The sunfish;06-11-14;12:15;ja;;09-nov;10:15;aegon;ja;;;ja;ja;;
The Tree;06-11-14;20:00;ja;;07-nov;10:00;roze;ja;09-nov;22:00;ja;ja;;
Tsjechisch kerstfeest + Dagboeken van een olifant;06-11-14;14:45;ja;;;;;ja;;;ja;nee;ja;
Victoria;06-11-14;12:00;ja;;08-nov;17:00;aegon;ja;;;ja;ja;;
Viktoria;07-11-14;14:15;ja;;09-nov;10:00;groen;ja;;;ja;ja;;
Violet;06-11-14;22:15;ja;;08-nov;10:15;rabo;ja;;;ja;ja;;
West;07-11-14;12:00;ja;;08-nov;14:45;aegon;ja;;;ja;ja;;
White god;08-11-14;19:45;ja;;09-nov;21:45;rabo;ja;;;ja;ja;;
Wisecrackers;07-11-14;20:15;ja;;;;;ja;;;ja;nee;ja;
Yoik fever + Reizigers in de nacht;06-11-14;22:15;ja;;09-nov;19:45;benta;ja;;;ja;nee;ja;
